spot	layer
227_2332	1
227_2756	1
227_3180	1
227_3604	1
227_4028	1
227_4452	1
227_4876	1
681_1484	1
681_1908	1
681_2332	1
681_2756	2
681_3180	2
681_3604	2
681_4028	2
681_4452	2
681_4876	1
681_5300	1
1135_1060	2
1135_1484	2
1135_1908	2
1135_2332	2
1135_2756	2
1135_3180	2
1135_3604	2
1135_4028	2
1135_4452	2
1135_4876	2
1135_5300	1
1135_8692	1
1135_9116	1
1135_9540	1
1135_9964	1
1135_10388	1
1135_10812	1
1135_11236	1
1589_1060	2
1589_1484	2
1589_1908	2
1589_2332	2
1589_2756	2
1589_3180	2
1589_3604	2
1589_4028	2
1589_4452	2
1589_4876	2
1589_5300	1
1589_5724	1
1589_7420	1
1589_8692	3
1589_9116	3
1589_9540	3
1589_9964	3
1589_10388	3
1589_10812	3
1589_11236	3
1589_11660	3
1589_12084	3
1589_12508	3
2043_1060	1
2043_1484	1
2043_1908	2
2043_2332	1
2043_2756	2
2043_3180	2
2043_4876	2
2043_5300	2
2043_5724	1
2043_7420	1
2043_8692	3
2043_9116	3
2043_9540	3
2043_9964	3
2043_10388	3
2043_10812	3
2043_11236	3
2043_11660	3
2043_12084	3
2043_12508	3
2043_12932	3
2043_13356	3
2043_13780	1
2497_1060	1
2497_1484	1
2497_1908	1
2497_2332	1
2497_2756	2
2497_4876	2
2497_5300	2
2497_5724	1
2497_7420	1
2497_8692	3
2497_9116	3
2497_9540	3
2497_9964	3
2497_10388	3
2497_10812	3
2497_11236	3
2497_11660	3
2497_12084	3
2497_12508	3
2497_12932	3
2497_13356	3
2497_13780	3
2497_14204	3
2951_1060	2
2951_1484	1
2951_1908	1
2951_2332	2
2951_2756	2
2951_4876	2
2951_5300	1
2951_5724	1
2951_6996	1
2951_8692	3
2951_9116	3
2951_9540	3
2951_9964	3
2951_10388	3
2951_10812	3
2951_11236	3
2951_11660	3
2951_12084	3
2951_12508	3
2951_12932	3
2951_13356	3
2951_13780	3
2951_14204	3
2951_14628	3
3405_1060	1
3405_1484	1
3405_1908	2
3405_2332	2
3405_2756	2
3405_4876	2
3405_5300	1
3405_6572	1
3405_6996	1
3405_8692	3
3405_9116	3
3405_9540	3
3405_9964	3
3405_10388	3
3405_10812	3
3405_11236	3
3405_11660	3
3405_12084	3
3405_12508	3
3405_12932	3
3405_13356	3
3405_13780	3
3405_14204	3
3405_14628	3
3405_15052	3
3859_1060	1
3859_1484	1
3859_1908	2
3859_2332	2
3859_2756	2
3859_4876	2
3859_5300	2
3859_5724	1
3859_6148	1
3859_6572	1
3859_6996	2
3859_8692	3
3859_9116	3
3859_9540	3
3859_9964	3
3859_10388	3
3859_10812	3
3859_11236	3
3859_11660	3
3859_12084	3
3859_12508	3
3859_12932	3
3859_13356	3
3859_13780	3
3859_14204	3
3859_14628	3
3859_15052	3
3859_15476	3
4313_1060	1
4313_1484	2
4313_1908	2
4313_2332	2
4313_2756	2
4313_3180	2
4313_5300	2
4313_5724	2
4313_6148	2
4313_6572	2
4313_6996	2
4313_8692	3
4313_9116	3
4313_9540	3
4313_9964	3
4313_10388	3
4313_10812	3
4313_11236	3
4313_11660	3
4313_12084	3
4313_12508	3
4313_12932	3
4313_13356	3
4313_13780	3
4313_14204	3
4313_14628	3
4313_15052	3
4313_15476	3
4313_15900	3
4767_636	1
4767_1060	1
4767_1484	2
4767_1908	2
4767_2332	2
4767_2756	2
4767_3180	2
4767_5724	2
4767_6148	2
4767_6572	2
4767_6996	2
4767_7420	2
4767_8268	4
4767_8692	3
4767_9116	3
4767_9540	3
4767_9964	3
4767_10388	3
4767_10812	3
4767_11236	2
4767_11660	3
4767_12084	3
4767_12508	3
4767_12932	3
4767_13356	3
4767_13780	3
4767_14204	3
4767_14628	3
4767_15052	3
4767_15476	3
4767_15900	3
5221_636	1
5221_1060	2
5221_1484	2
5221_1908	2
5221_2332	2
5221_2756	2
5221_3180	2
5221_5724	3
5221_6148	2
5221_6572	2
5221_6996	2
5221_7420	2
5221_7844	2
5221_8268	2
5221_8692	3
5221_9116	3
5221_9540	3
5221_9964	3
5221_10388	3
5221_10812	3
5221_11236	3
5221_11660	3
5221_12084	2
5221_12508	3
5221_12932	3
5221_13356	3
5221_13780	3
5221_14204	3
5221_14628	3
5221_15052	3
5221_15476	3
5221_15900	3
5675_636	2
5675_1060	2
5675_1484	2
5675_1908	2
5675_2332	2
5675_2756	2
5675_3180	2
5675_5300	2
5675_5724	2
5675_6148	2
5675_6572	2
5675_6996	2
5675_7420	2
5675_7844	2
5675_8268	2
5675_8692	3
5675_9116	3
5675_9540	3
5675_9964	2
5675_10388	3
5675_10812	3
5675_11236	3
5675_11660	3
5675_12084	3
5675_12508	3
5675_12932	3
5675_13356	3
5675_13780	3
5675_14204	3
5675_14628	3
5675_15052	3
5675_15476	3
5675_15900	3
6129_636	1
6129_1060	2
6129_1484	1
6129_1908	2
6129_2332	2
6129_2756	2
6129_3180	2
6129_5300	2
6129_5724	2
6129_6148	2
6129_6572	2
6129_6996	2
6129_7420	2
6129_7844	2
6129_8268	2
6129_8692	2
6129_9116	2
6129_9540	2
6129_9964	2
6129_10388	3
6129_10812	3
6129_11236	3
6129_11660	3
6129_12084	3
6129_12508	3
6129_12932	3
6129_13356	3
6129_13780	3
6129_14204	3
6129_14628	3
6129_15052	3
6129_15476	3
6129_15900	3
6583_1060	1
6583_1484	2
6583_1908	2
6583_2332	2
6583_2756	2
6583_3180	2
6583_5300	2
6583_5724	2
6583_6148	2
6583_6572	2
6583_6996	2
6583_7420	2
6583_7844	2
6583_8268	2
6583_8692	2
6583_9116	3
6583_9540	3
6583_9964	3
6583_10388	3
6583_10812	3
6583_11236	3
6583_11660	3
6583_12084	3
6583_12508	3
6583_12932	3
6583_13356	3
6583_13780	3
6583_14204	3
6583_14628	3
6583_15052	3
6583_15476	3
6583_15900	3
7037_1060	1
7037_1484	2
7037_1908	2
7037_2332	2
7037_2756	2
7037_3180	2
7037_3604	2
7037_4876	2
7037_5300	2
7037_5724	2
7037_6148	2
7037_6572	2
7037_6996	2
7037_7420	2
7037_7844	2
7037_8268	2
7037_9116	3
7037_9540	3
7037_9964	3
7037_10388	3
7037_10812	3
7037_11236	3
7037_11660	3
7037_12084	3
7037_12508	3
7037_12932	3
7037_13356	3
7037_13780	3
7037_14204	3
7037_14628	3
7037_15052	3
7037_15476	3
7037_15900	3
7491_1060	1
7491_1484	2
7491_1908	2
7491_2332	2
7491_2756	2
7491_3180	2
7491_4876	2
7491_5300	2
7491_5724	2
7491_6148	2
7491_6572	2
7491_6996	2
7491_7420	2
7491_7844	2
7491_8268	2
7491_8692	2
7491_9116	3
7491_9540	3
7491_9964	3
7491_10388	3
7491_10812	3
7491_11236	3
7491_11660	3
7491_12084	3
7491_12508	3
7491_12932	3
7491_13356	3
7491_13780	3
7491_14204	3
7491_14628	3
7491_15052	3
7491_15476	3
7491_15900	3
7945_1060	1
7945_1484	2
7945_1908	2
7945_2332	2
7945_2756	2
7945_3180	2
7945_4452	2
7945_4876	2
7945_5300	2
7945_5724	2
7945_6148	1
7945_6572	1
7945_6996	1
7945_7420	2
7945_7844	2
7945_8268	2
7945_8692	2
7945_9116	3
7945_9540	3
7945_9964	3
7945_10388	3
7945_10812	3
7945_11236	3
7945_11660	3
7945_12084	3
7945_12508	3
7945_12932	3
7945_13356	3
7945_13780	3
7945_14204	3
7945_14628	3
7945_15052	3
7945_15476	3
7945_15900	3
7945_16324	3
8399_1060	1
8399_1484	2
8399_1908	2
8399_2332	2
8399_2756	2
8399_4452	2
8399_4876	2
8399_5300	2
8399_5724	2
8399_6148	1
8399_7420	2
8399_7844	2
8399_8268	2
8399_8692	2
8399_9116	3
8399_9540	3
8399_9964	3
8399_10388	3
8399_10812	3
8399_11236	3
8399_11660	3
8399_12084	3
8399_12508	3
8399_12932	3
8399_13356	3
8399_13780	3
8399_14204	3
8399_14628	3
8399_15052	3
8399_15476	3
8399_15900	3
8399_16324	3
8399_16748	3
8853_636	4
8853_1060	1
8853_1484	2
8853_1908	2
8853_2332	2
8853_2756	2
8853_4452	1
8853_4876	1
8853_5300	2
8853_5724	2
8853_6148	1
8853_7420	1
8853_7844	2
8853_8268	2
8853_8692	3
8853_9116	3
8853_9540	3
8853_9964	3
8853_10388	3
8853_10812	3
8853_11236	3
8853_11660	3
8853_12084	3
8853_12508	3
8853_12932	3
8853_13356	3
8853_13780	3
8853_14204	3
8853_14628	3
8853_15052	3
8853_15476	3
8853_15900	3
8853_16324	3
8853_16748	3
9307_1908	2
9307_2332	2
9307_2756	1
9307_4452	1
9307_4876	2
9307_5300	2
9307_5724	2
9307_6148	1
9307_6572	2
9307_6996	1
9307_7420	1
9307_7844	2
9307_8268	2
9307_8692	3
9307_9116	3
9307_9540	3
9307_9964	3
9307_10388	3
9307_10812	3
9307_11236	3
9307_11660	3
9307_12084	3
9307_12508	2
9307_12932	2
9307_13356	3
9307_13780	3
9307_14204	3
9307_14628	3
9307_15052	3
9307_15476	3
9307_15900	3
9307_16324	3
9307_16748	3
9761_1484	4
9761_1908	4
9761_2332	4
9761_2756	4
9761_4452	1
9761_4876	2
9761_5300	2
9761_5724	2
9761_6148	2
9761_6572	1
9761_6996	1
9761_7420	1
9761_7844	2
9761_8268	2
9761_8692	3
9761_9116	3
9761_9540	2
9761_12932	3
9761_13356	3
9761_13780	3
9761_14204	3
9761_14628	3
9761_15052	3
9761_15476	3
9761_15900	3
9761_16324	3
9761_16748	3
10215_1484	4
10215_1908	4
10215_2332	4
10215_2756	4
10215_4028	2
10215_4452	2
10215_4876	2
10215_5300	2
10215_5724	2
10215_6148	2
10215_6572	2
10215_6996	1
10215_7420	1
10215_7844	2
10215_8268	2
10215_8692	3
10215_9116	3
10215_9540	3
10215_12932	3
10215_13356	3
10215_13780	3
10215_14204	3
10215_14628	3
10215_15052	3
10215_15476	3
10215_15900	3
10215_16324	3
10215_16748	3
10669_636	4
10669_1060	4
10669_1484	4
10669_1908	4
10669_2332	4
10669_2756	4
10669_3180	4
10669_4452	2
10669_4876	2
10669_5724	2
10669_6148	2
10669_6572	2
10669_6996	2
10669_7420	2
10669_7844	2
10669_8268	2
10669_8692	3
10669_9116	3
10669_9540	2
10669_11236	3
10669_11660	3
10669_12084	3
10669_12508	3
10669_12932	3
10669_13356	3
10669_13780	3
10669_14204	3
10669_14628	3
10669_15052	3
10669_15476	3
10669_15900	3
10669_16324	3
10669_16748	3
11123_636	4
11123_1060	4
11123_1484	4
11123_1908	4
11123_2332	4
11123_2756	4
11123_4452	1
11123_4876	2
11123_6148	2
11123_6572	2
11123_6996	2
11123_7420	2
11123_7844	2
11123_8268	2
11123_8692	3
11123_9116	3
11123_9540	3
11123_9964	3
11123_10812	3
11123_11236	3
11123_11660	3
11123_12084	3
11123_12508	3
11123_12932	3
11123_13356	3
11123_13780	3
11123_14204	3
11123_14628	3
11123_15052	3
11123_15476	3
11123_15900	3
11123_16324	3
11123_16748	3
11577_1484	4
11577_1908	4
11577_2332	4
11577_4028	1
11577_4452	1
11577_4876	2
11577_5300	2
11577_5724	2
11577_6572	2
11577_6996	2
11577_7420	2
11577_7844	2
11577_8268	2
11577_8692	3
11577_9116	3
11577_9540	3
11577_9964	3
11577_10388	3
11577_10812	3
11577_11236	3
11577_11660	3
11577_12084	3
11577_12508	3
11577_12932	3
11577_13356	3
11577_13780	3
11577_14204	3
11577_14628	3
11577_15052	3
11577_15476	3
11577_15900	3
11577_16324	3
12031_2756	4
12031_4028	1
12031_4452	1
12031_4876	2
12031_5300	2
12031_5724	2
12031_6148	1
12031_6572	2
12031_6996	2
12031_7844	2
12031_8268	2
12031_8692	2
12031_9116	3
12031_9540	3
12031_9964	3
12031_10388	3
12031_10812	3
12031_11236	3
12031_11660	3
12031_12084	3
12031_12508	3
12031_12932	3
12031_13356	3
12031_13780	3
12031_14204	3
12031_14628	3
12031_15052	3
12031_15476	3
12031_15900	3
12031_16324	1
12485_636	4
12485_1060	4
12485_1484	4
12485_2332	4
12485_2756	4
12485_3180	4
12485_4028	1
12485_4876	1
12485_5300	1
12485_5724	1
12485_6572	1
12485_6996	2
12485_7420	2
12485_7844	2
12485_8268	2
12485_8692	2
12485_9116	3
12485_9540	3
12485_9964	3
12485_10388	3
12485_10812	3
12485_11236	3
12485_11660	3
12485_12084	3
12485_12508	3
12485_12932	3
12485_13356	3
12485_13780	3
12485_14204	3
12485_14628	3
12485_15052	3
12485_15476	3
12485_15900	3
12939_212	4
12939_636	4
12939_1060	4
12939_1908	4
12939_2332	4
12939_2756	4
12939_3180	4
12939_3604	4
12939_4028	1
12939_4452	1
12939_5300	1
12939_5724	1
12939_6148	1
12939_6572	1
12939_7420	2
12939_7844	2
12939_8268	2
12939_8692	2
12939_9116	3
12939_9540	3
12939_9964	3
12939_10388	3
12939_10812	3
12939_11236	3
12939_11660	3
12939_12084	3
12939_12508	3
12939_12932	3
12939_13356	3
12939_13780	3
12939_14204	3
12939_14628	3
12939_15052	3
12939_15476	1
13393_212	4
13393_636	4
13393_1060	4
13393_1908	4
13393_2332	4
13393_2756	4
13393_3180	4
13393_3604	1
13393_4028	1
13393_4876	2
13393_5300	2
13393_5724	2
13393_6148	2
13393_6572	2
13393_7420	2
13393_7844	2
13393_8268	2
13393_8692	1
13393_9116	1
13393_9540	3
13393_9964	3
13393_10388	3
13393_10812	3
13393_11236	3
13393_11660	3
13393_12084	3
13393_12508	3
13393_12932	3
13393_13356	3
13393_13780	3
13393_14204	3
13393_14628	3
13393_15052	3
13847_212	4
13847_636	4
13847_1484	4
13847_1908	4
13847_2332	4
13847_2756	4
13847_3180	4
13847_3604	1
13847_4876	2
13847_6996	2
13847_7420	2
13847_7844	2
13847_8268	2
13847_8692	1
13847_9540	1
13847_9964	3
13847_10388	3
13847_10812	3
13847_11236	3
13847_11660	3
13847_12084	3
13847_12508	3
13847_12932	3
13847_13356	3
13847_13780	3
13847_14204	3
13847_14628	1
14301_212	4
14301_636	4
14301_1060	4
14301_1484	4
14301_1908	4
14301_2332	1
14301_2756	1
14301_3180	1
14301_3604	1
14301_4452	1
14301_4876	2
14301_5724	2
14301_6148	2
14301_6572	2
14301_6996	2
14301_7420	2
14301_7844	2
14301_8268	2
14301_8692	1
14301_9116	1
14301_9540	1
14301_9964	1
14301_10388	1
14301_10812	1
14301_11236	1
14301_11660	3
14301_12084	3
14301_12508	3
14301_12932	3
14301_13356	3
14301_13780	1
14755_212	4
14755_636	4
14755_1060	4
14755_1484	4
14755_1908	4
14755_2332	1
14755_2756	1
14755_3180	4
14755_3604	1
14755_4452	2
14755_4876	2
14755_5300	2
14755_5724	2
14755_6148	2
14755_6572	2
14755_6996	2
14755_7420	2
14755_7844	2
14755_8268	2
14755_8692	2
14755_9116	2
14755_9540	2
14755_9964	2
14755_10388	1
14755_10812	1
14755_11236	1
15209_212	4
15209_636	4
15209_1060	4
15209_1484	4
15209_1908	4
15209_2332	4
15209_2756	4
