"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"normal_spot1"	11	13	11	15	15	13
"normal_spot2"	13	12	14	14	10	12
"normal_spot3"	15	10	16	12	15	15
"normal_spot4"	14	16	13	16	12	12
"normal_spot5"	13	14	11	11	11	15
"normal_spot6"	15	14	15	11	14	16
"normal_spot7"	12	12	16	13	16	10
"normal_spot8"	16	12	14	11	14	15
"normal_spot9"	12	10	14	10	15	13
"normal_spot10"	11	10	10	10	11	15
"normal_spot11"	15	12	11	13	10	14
"normal_spot12"	16	16	11	13	10	13
"normal_spot13"	11	14	14	15	11	11
"normal_spot14"	15	11	16	10	10	10
"normal_spot15"	13	14	15	13	16	11
"normal_spot16"	13	14	15	12	12	16
"normal_spot17"	15	11	11	14	16	12
"normal_spot18"	16	11	14	13	10	11
"normal_spot19"	10	10	10	10	15	16
"normal_spot20"	15	13	15	11	10	15
"normal_spot21"	14	13	13	11	10	10
"normal_spot22"	13	11	13	13	12	11
"normal_spot23"	16	14	10	16	15	11
"normal_spot24"	15	16	10	14	14	14
"normal_spot25"	13	16	13	14	10	15
"normal_spot26"	10	14	13	16	13	16
"normal_spot27"	12	11	15	14	16	14
"normal_spot28"	10	12	16	13	10	10
"normal_spot29"	16	15	14	16	16	14
"normal_spot30"	10	13	11	10	16	10
"normal_spot31"	10	13	12	16	13	11
"normal_spot32"	15	14	16	15	12	16
"normal_spot33"	15	16	15	13	11	14
"normal_spot34"	16	15	14	10	12	12
"normal_spot35"	15	13	16	15	15	16
"normal_spot36"	16	11	15	16	11	16
"normal_spot37"	13	12	15	14	14	11
"normal_spot38"	13	13	14	10	15	12
"normal_spot39"	11	16	11	11	16	12
"normal_spot40"	10	14	13	12	13	16
"normal_spot41"	10	16	14	12	14	11
"normal_spot42"	11	16	13	14	13	15
"normal_spot43"	14	14	10	14	13	16
"normal_spot44"	15	15	12	16	12	13
"normal_spot45"	12	12	16	16	15	12
"normal_spot46"	13	12	14	16	10	15
"normal_spot47"	13	16	10	10	16	12
"normal_spot48"	12	14	16	12	10	12
"normal_spot49"	12	10	11	10	11	12
"normal_spot50"	16	11	12	16	12	11
"normal_spot51"	16	14	10	10	15	13
"normal_spot52"	14	16	11	15	13	12
"normal_spot53"	11	16	15	12	12	16
"normal_spot54"	13	12	10	10	13	12
"normal_spot55"	14	13	11	16	15	12
"normal_spot56"	15	16	16	11	11	14
"normal_spot57"	16	12	14	16	11	11
"normal_spot58"	11	11	15	11	11	15
"normal_spot59"	10	11	11	10	10	14
"normal_spot60"	10	15	14	11	15	12
"normal_spot61"	13	11	11	16	10	14
"normal_spot62"	13	11	10	12	14	16
"normal_spot63"	11	14	12	15	12	14
"normal_spot64"	16	10	15	10	11	13
"normal_spot65"	15	10	14	11	16	11
"normal_spot66"	15	16	15	12	15	10
"normal_spot67"	11	16	11	13	11	14
"normal_spot68"	13	12	13	16	16	13
"normal_spot69"	10	14	11	13	11	15
"normal_spot70"	15	13	10	12	16	16
"normal_spot71"	10	11	16	10	16	10
"normal_spot72"	10	10	12	12	11	14
"normal_spot73"	14	13	13	12	10	12
"normal_spot74"	10	13	13	15	16	12
"normal_spot75"	10	13	11	10	10	15
"normal_spot76"	12	14	10	13	14	10
"normal_spot77"	10	15	16	10	13	12
"normal_spot78"	15	16	10	12	15	10
"normal_spot79"	12	13	16	10	11	14
"normal_spot80"	16	10	15	11	16	15
"normal_spot81"	10	14	12	11	15	13
"normal_spot82"	15	12	10	13	14	10
"normal_spot83"	11	14	12	15	10	16
"normal_spot84"	12	14	12	14	13	12
"normal_spot85"	13	13	10	11	10	13
"normal_spot86"	13	14	16	15	10	14
"normal_spot87"	12	15	10	14	10	12
"normal_spot88"	13	11	12	12	13	10
"normal_spot89"	12	10	15	16	16	13
