cellID	bio_celltype	layer
cell_type1_1	cell_type1	normal
cell_type1_2	cell_type1	normal
cell_type1_3	cell_type1	disease
cell_type1_4	cell_type1	disease
cell_type1_5	cell_type1	normal
cell_type1_6	cell_type1	disease
cell_type1_7	cell_type1	disease
cell_type1_8	cell_type1	disease
cell_type1_9	cell_type1	normal
cell_type1_10	cell_type1	normal
cell_type1_11	cell_type1	disease
cell_type1_12	cell_type1	disease
cell_type1_13	cell_type1	disease
cell_type1_14	cell_type1	disease
cell_type1_15	cell_type1	disease
cell_type1_16	cell_type1	disease
cell_type1_17	cell_type1	disease
cell_type1_18	cell_type1	normal
cell_type1_19	cell_type1	disease
cell_type1_20	cell_type1	normal
cell_type1_21	cell_type1	disease
cell_type1_22	cell_type1	disease
cell_type1_23	cell_type1	disease
cell_type1_24	cell_type1	normal
cell_type1_25	cell_type1	disease
cell_type1_26	cell_type1	disease
cell_type1_27	cell_type1	normal
cell_type1_28	cell_type1	disease
cell_type1_29	cell_type1	disease
cell_type1_30	cell_type1	disease
cell_type1_31	cell_type1	disease
cell_type1_32	cell_type1	disease
cell_type1_33	cell_type1	disease
cell_type1_34	cell_type1	normal
cell_type1_35	cell_type1	normal
cell_type1_36	cell_type1	normal
cell_type1_37	cell_type1	disease
cell_type1_38	cell_type1	disease
cell_type1_39	cell_type1	disease
cell_type1_40	cell_type1	disease
cell_type1_41	cell_type1	normal
cell_type1_42	cell_type1	disease
cell_type1_43	cell_type1	disease
cell_type1_44	cell_type1	disease
cell_type1_45	cell_type1	disease
cell_type1_46	cell_type1	disease
cell_type1_47	cell_type1	disease
cell_type1_48	cell_type1	disease
cell_type1_49	cell_type1	disease
cell_type1_50	cell_type1	disease
cell_type1_51	cell_type1	disease
cell_type1_52	cell_type1	disease
cell_type1_53	cell_type1	disease
cell_type1_54	cell_type1	disease
cell_type1_55	cell_type1	disease
cell_type1_56	cell_type1	normal
cell_type1_57	cell_type1	disease
cell_type1_58	cell_type1	disease
cell_type1_59	cell_type1	normal
cell_type1_60	cell_type1	disease
cell_type1_61	cell_type1	disease
cell_type1_62	cell_type1	disease
cell_type1_63	cell_type1	disease
cell_type1_64	cell_type1	disease
cell_type1_65	cell_type1	disease
cell_type1_66	cell_type1	disease
cell_type1_67	cell_type1	disease
cell_type1_68	cell_type1	disease
cell_type1_69	cell_type1	disease
cell_type1_70	cell_type1	disease
cell_type1_71	cell_type1	disease
cell_type1_72	cell_type1	disease
cell_type1_73	cell_type1	normal
cell_type1_74	cell_type1	normal
cell_type1_75	cell_type1	normal
cell_type1_76	cell_type1	disease
cell_type1_77	cell_type1	disease
cell_type1_78	cell_type1	normal
cell_type1_79	cell_type1	normal
cell_type1_80	cell_type1	normal
cell_type1_81	cell_type1	disease
cell_type1_82	cell_type1	disease
cell_type1_83	cell_type1	normal
cell_type1_84	cell_type1	normal
cell_type1_85	cell_type1	disease
cell_type1_86	cell_type1	normal
cell_type1_87	cell_type1	normal
cell_type1_88	cell_type1	disease
cell_type1_89	cell_type1	disease
cell_type1_90	cell_type1	disease
cell_type1_91	cell_type1	disease
cell_type1_92	cell_type1	disease
cell_type1_93	cell_type1	normal
cell_type1_94	cell_type1	normal
cell_type1_95	cell_type1	disease
cell_type1_96	cell_type1	normal
cell_type1_97	cell_type1	disease
cell_type1_98	cell_type1	disease
cell_type1_99	cell_type1	disease
cell_type1_100	cell_type1	disease
cell_type1_101	cell_type1	normal
cell_type1_102	cell_type1	disease
cell_type1_103	cell_type1	disease
cell_type1_104	cell_type1	normal
cell_type1_105	cell_type1	disease
cell_type1_106	cell_type1	disease
cell_type1_107	cell_type1	normal
cell_type1_108	cell_type1	disease
cell_type1_109	cell_type1	disease
cell_type1_110	cell_type1	disease
cell_type1_111	cell_type1	normal
cell_type1_112	cell_type1	disease
cell_type1_113	cell_type1	normal
cell_type1_114	cell_type1	disease
cell_type1_115	cell_type1	disease
cell_type1_116	cell_type1	disease
cell_type1_117	cell_type1	disease
cell_type1_118	cell_type1	normal
cell_type1_119	cell_type1	disease
cell_type1_120	cell_type1	disease
cell_type1_121	cell_type1	disease
cell_type1_122	cell_type1	disease
cell_type1_123	cell_type1	disease
cell_type1_124	cell_type1	normal
cell_type1_125	cell_type1	disease
cell_type1_126	cell_type1	disease
cell_type1_127	cell_type1	normal
cell_type1_128	cell_type1	disease
cell_type1_129	cell_type1	disease
cell_type1_130	cell_type1	disease
cell_type1_131	cell_type1	normal
cell_type1_132	cell_type1	disease
cell_type1_133	cell_type1	normal
cell_type1_134	cell_type1	disease
cell_type1_135	cell_type1	disease
cell_type1_136	cell_type1	disease
cell_type1_137	cell_type1	disease
cell_type1_138	cell_type1	disease
cell_type1_139	cell_type1	disease
cell_type1_140	cell_type1	disease
cell_type1_141	cell_type1	disease
cell_type1_142	cell_type1	disease
cell_type1_143	cell_type1	disease
cell_type1_144	cell_type1	disease
cell_type1_145	cell_type1	disease
cell_type1_146	cell_type1	disease
cell_type1_147	cell_type1	disease
cell_type1_148	cell_type1	disease
