spot	layer
normal_spot1	normal
normal_spot2	normal
normal_spot3	normal
normal_spot4	normal
normal_spot5	normal
normal_spot6	normal
normal_spot7	normal
normal_spot8	normal
normal_spot9	normal
normal_spot10	normal
normal_spot11	normal
normal_spot12	normal
normal_spot13	normal
normal_spot14	normal
normal_spot15	normal
normal_spot16	normal
normal_spot17	normal
normal_spot18	normal
normal_spot19	normal
normal_spot20	normal
normal_spot21	normal
normal_spot22	normal
normal_spot23	normal
normal_spot24	normal
normal_spot25	normal
normal_spot26	normal
normal_spot27	normal
normal_spot28	normal
normal_spot29	normal
normal_spot30	normal
normal_spot31	normal
normal_spot32	normal
normal_spot33	normal
normal_spot34	normal
normal_spot35	normal
normal_spot36	normal
normal_spot37	normal
normal_spot38	normal
normal_spot39	normal
normal_spot40	normal
normal_spot41	normal
normal_spot42	normal
normal_spot43	normal
normal_spot44	normal
normal_spot45	normal
normal_spot46	normal
normal_spot47	normal
normal_spot48	normal
normal_spot49	normal
normal_spot50	normal
normal_spot51	normal
normal_spot52	normal
normal_spot53	normal
normal_spot54	normal
normal_spot55	normal
normal_spot56	normal
normal_spot57	normal
normal_spot58	normal
normal_spot59	normal
normal_spot60	normal
normal_spot61	normal
normal_spot62	normal
normal_spot63	normal
normal_spot64	normal
normal_spot65	normal
normal_spot66	normal
normal_spot67	normal
normal_spot68	normal
normal_spot69	normal
normal_spot70	normal
normal_spot71	normal
normal_spot72	normal
normal_spot73	normal
normal_spot74	normal
normal_spot75	normal
normal_spot76	normal
normal_spot77	normal
normal_spot78	normal
normal_spot79	normal
normal_spot80	normal
normal_spot81	normal
normal_spot82	normal
normal_spot83	normal
normal_spot84	normal
normal_spot85	normal
normal_spot86	normal
normal_spot87	normal
normal_spot88	normal
normal_spot89	normal
normal_spot90	normal
normal_spot91	normal
normal_spot92	normal
normal_spot93	normal
normal_spot94	normal
normal_spot95	normal
normal_spot96	normal
normal_spot97	normal
normal_spot98	normal
normal_spot99	normal
normal_spot100	normal
normal_spot101	normal
normal_spot102	normal
normal_spot103	normal
normal_spot104	normal
normal_spot105	normal
normal_spot106	normal
normal_spot107	normal
normal_spot108	normal
normal_spot109	normal
normal_spot110	normal
normal_spot111	normal
normal_spot112	normal
normal_spot113	normal
normal_spot114	normal
normal_spot115	normal
normal_spot116	normal
normal_spot117	normal
normal_spot118	normal
normal_spot119	normal
normal_spot120	normal
normal_spot121	normal
normal_spot122	normal
normal_spot123	normal
normal_spot124	normal
normal_spot125	normal
normal_spot126	normal
normal_spot127	normal
normal_spot128	normal
normal_spot129	normal
normal_spot130	normal
normal_spot131	normal
normal_spot132	normal
normal_spot133	normal
normal_spot134	normal
normal_spot135	normal
normal_spot136	normal
normal_spot137	normal
normal_spot138	normal
normal_spot139	normal
normal_spot140	normal
normal_spot141	normal
normal_spot142	normal
normal_spot143	normal
normal_spot144	normal
normal_spot145	normal
normal_spot146	normal
normal_spot147	normal
normal_spot148	normal
normal_spot149	normal
normal_spot150	normal
disease_spot1	disease
disease_spot2	disease
disease_spot3	disease
disease_spot4	disease
disease_spot5	disease
disease_spot6	disease
disease_spot7	disease
disease_spot8	disease
disease_spot9	disease
disease_spot10	disease
disease_spot11	disease
disease_spot12	disease
disease_spot13	disease
disease_spot14	disease
disease_spot15	disease
disease_spot16	disease
disease_spot17	disease
disease_spot18	disease
disease_spot19	disease
disease_spot20	disease
disease_spot21	disease
disease_spot22	disease
disease_spot23	disease
disease_spot24	disease
disease_spot25	disease
disease_spot26	disease
disease_spot27	disease
disease_spot28	disease
disease_spot29	disease
disease_spot30	disease
disease_spot31	disease
disease_spot32	disease
disease_spot33	disease
disease_spot34	disease
disease_spot35	disease
disease_spot36	disease
disease_spot37	disease
disease_spot38	disease
disease_spot39	disease
disease_spot40	disease
disease_spot41	disease
disease_spot42	disease
disease_spot43	disease
disease_spot44	disease
disease_spot45	disease
disease_spot46	disease
disease_spot47	disease
disease_spot48	disease
disease_spot49	disease
disease_spot50	disease
