"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	11	15	11	12	12	15
"disease_spot2"	12	15	13	10	11	13
"disease_spot3"	12	10	12	10	13	16
"disease_spot4"	10	10	11	16	13	16
"disease_spot5"	10	15	13	16	11	15
"disease_spot6"	13	13	15	10	11	10
"disease_spot7"	15	15	12	14	11	13
"disease_spot8"	11	16	12	16	14	12
"disease_spot9"	11	14	11	11	13	13
"disease_spot10"	16	11	13	13	15	11
"disease_spot11"	16	12	14	16	15	16
"disease_spot12"	14	14	11	11	11	12
"disease_spot13"	11	14	13	13	13	12
"disease_spot14"	12	15	12	14	14	10
"disease_spot15"	13	10	11	15	13	15
"disease_spot16"	15	10	11	16	13	11
"disease_spot17"	10	14	16	11	11	13
"disease_spot18"	12	15	11	11	16	10
"disease_spot19"	15	13	15	16	16	14
"disease_spot20"	14	13	11	16	12	11
"disease_spot21"	10	15	16	12	16	12
"disease_spot22"	12	10	12	12	10	13
"disease_spot23"	10	16	12	16	14	12
"disease_spot24"	13	14	10	12	10	11
"disease_spot25"	16	15	16	12	10	13
"disease_spot26"	14	14	10	16	14	15
"disease_spot27"	10	11	10	16	16	15
"disease_spot28"	16	15	12	14	14	14
"disease_spot29"	15	16	16	10	10	14
"disease_spot30"	14	13	15	16	16	12
"disease_spot31"	12	15	16	13	13	14
"disease_spot32"	16	11	12	12	10	16
"disease_spot33"	11	13	12	13	15	13
"disease_spot34"	12	11	10	14	16	15
"disease_spot35"	12	15	15	12	13	11
"disease_spot36"	15	15	10	15	12	10
"disease_spot37"	13	12	12	14	15	11
"disease_spot38"	16	11	15	15	14	16
"disease_spot39"	14	15	14	15	11	15
"disease_spot40"	14	14	11	11	10	14
"disease_spot41"	10	16	15	10	14	10
"disease_spot42"	13	12	13	12	15	13
"disease_spot43"	12	16	13	16	10	16
"disease_spot44"	16	13	12	16	15	15
"disease_spot45"	10	11	11	13	13	12
"disease_spot46"	12	15	16	15	15	16
"disease_spot47"	14	12	14	12	12	15
"disease_spot48"	16	11	15	16	12	16
"disease_spot49"	15	11	10	12	13	16
"disease_spot50"	11	15	12	12	15	14
