"cell_type1"	"cell_type2"	"cell_type3"	"cell_type4"	"cell_type5"	"cell_type6"
"disease_spot1"	16	15	15	14	11	12
"disease_spot2"	10	11	16	16	16	16
"disease_spot3"	15	10	14	12	10	10
"disease_spot4"	11	13	15	14	10	13
"disease_spot5"	16	13	10	12	16	16
"disease_spot6"	14	14	13	12	13	12
"disease_spot7"	10	11	11	11	13	13
"disease_spot8"	13	12	14	10	15	13
"disease_spot9"	13	14	16	14	12	15
"disease_spot10"	16	15	16	13	14	11
"disease_spot11"	13	15	15	13	14	13
"disease_spot12"	12	12	15	15	14	14
"disease_spot13"	16	15	10	11	14	12
"disease_spot14"	13	11	10	10	10	14
"disease_spot15"	12	11	16	13	16	10
"disease_spot16"	13	11	14	15	10	12
"disease_spot17"	16	10	12	16	12	13
"disease_spot18"	15	10	14	13	16	11
"disease_spot19"	12	16	12	16	16	10
"disease_spot20"	12	15	12	10	11	13
"disease_spot21"	15	13	10	12	16	10
"disease_spot22"	11	15	13	12	15	11
"disease_spot23"	11	10	11	14	14	15
"disease_spot24"	10	10	13	15	14	11
"disease_spot25"	13	12	13	11	10	14
"disease_spot26"	13	16	12	15	12	15
"disease_spot27"	16	15	14	12	10	15
"disease_spot28"	13	10	15	12	13	16
"disease_spot29"	16	16	16	11	11	11
"disease_spot30"	14	12	12	15	11	16
"disease_spot31"	13	10	14	12	10	14
"disease_spot32"	12	16	11	11	15	13
"disease_spot33"	15	10	15	16	10	15
"disease_spot34"	12	10	12	15	16	10
"disease_spot35"	12	11	13	12	16	15
"disease_spot36"	16	10	16	14	10	14
"disease_spot37"	12	14	11	14	10	10
"disease_spot38"	10	16	10	11	16	13
"disease_spot39"	10	15	14	15	10	11
"disease_spot40"	15	16	11	13	13	14
"disease_spot41"	13	10	14	16	13	14
"disease_spot42"	12	10	10	15	13	13
"disease_spot43"	14	14	16	13	11	13
"disease_spot44"	14	11	16	14	11	15
"disease_spot45"	11	14	12	11	10	16
"disease_spot46"	12	10	15	16	12	13
"disease_spot47"	11	15	13	13	13	16
"disease_spot48"	16	13	16	11	15	16
"disease_spot49"	15	15	14	15	11	11
"disease_spot50"	12	12	15	14	16	16
